,Player,Team,ID,Link
0,Precious Achiuwa,TOR,/players/a/achiupr01,https://www.basketball-reference.com/players/a/achiupr01/gamelog/2023
1,Steven Adams,MEM,/players/a/adamsst01,https://www.basketball-reference.com/players/a/adamsst01/gamelog/2023
2,Bam Adebayo,MIA,/players/a/adebaba01,https://www.basketball-reference.com/players/a/adebaba01/gamelog/2023
3,Ochai Agbaji,UTA,/players/a/agbajoc01,https://www.basketball-reference.com/players/a/agbajoc01/gamelog/2023
4,Santi Aldama,MEM,/players/a/aldamsa01,https://www.basketball-reference.com/players/a/aldamsa01/gamelog/2023
5,Nickeil Alexander-Walker,TOT,/players/a/alexani01,https://www.basketball-reference.com/players/a/alexani01/gamelog/2023
8,Grayson Allen,MIL,/players/a/allengr01,https://www.basketball-reference.com/players/a/allengr01/gamelog/2023
9,Jarrett Allen,CLE,/players/a/allenja01,https://www.basketball-reference.com/players/a/allenja01/gamelog/2023
10,Jose Alvarado,NOP,/players/a/alvarjo01,https://www.basketball-reference.com/players/a/alvarjo01/gamelog/2023
11,Kyle Anderson,MIN,/players/a/anderky01,https://www.basketball-reference.com/players/a/anderky01/gamelog/2023
12,Giannis Antetokounmpo,MIL,/players/a/antetgi01,https://www.basketball-reference.com/players/a/antetgi01/gamelog/2023
13,Thanasis Antetokounmpo,MIL,/players/a/antetth01,https://www.basketball-reference.com/players/a/antetth01/gamelog/2023
14,Cole Anthony,ORL,/players/a/anthoco01,https://www.basketball-reference.com/players/a/anthoco01/gamelog/2023
15,OG Anunoby,TOR,/players/a/anunoog01,https://www.basketball-reference.com/players/a/anunoog01/gamelog/2023
16,Ryan Arcidiacono,TOT,/players/a/arcidry01,https://www.basketball-reference.com/players/a/arcidry01/gamelog/2023
19,Deni Avdija,WAS,/players/a/avdijde01,https://www.basketball-reference.com/players/a/avdijde01/gamelog/2023
20,Deandre Ayton,PHO,/players/a/aytonde01,https://www.basketball-reference.com/players/a/aytonde01/gamelog/2023
21,Udoka Azubuike,UTA,/players/a/azubuud01,https://www.basketball-reference.com/players/a/azubuud01/gamelog/2023
